reaction_id,name,equation,genes,pathway,lower_bound,upper_bound,reversible
T_ser__L_e_to_ser__L_c,,ser__L_e <=> ser__L_c,,Transport,-1000.0,1000.0,True
T_so4_e_to_so4_c,,so4_e <=> so4_c,,Transport,-1000.0,1000.0,True
T_thm_e_to_c,,thm_e <=> thmc,,Transport,-1000.0,1000.0,True
T_thm_e_to_thm_c,,thm_e <=> thm_c,,Transport,-1000.0,1000.0,True
T_thr__L_e_to_thr__L_c,,thr__L_e <=> thr__L_c,,Transport,-1000.0,1000.0,True
T_trp__L_e_to_trp__L_c,,trp__L_e <=> trp__L_c,,Transport,-1000.0,1000.0,True
T_tyr__L_e_to_tyr__L_c,,tyr__L_e <=> tyr__L_c,,Transport,-1000.0,1000.0,True
T_val__L_e_to_val__L_c,,val__L_e <=> val__L_c,,Transport,-1000.0,1000.0,True
T_zn2_e_to_zn2_c,,zn2_e <=> zn2_c,,Transport,-1000.0,1000.0,True
PC,pyruvate carboxylase,atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c,,Central Carbon Metabolism,0.0,1000.0,False
PPDK,Pyruvate phosphate dikinase,atp_c + pi_c + pyr_c --> amp_c + pep_c + ppi_c,,Central Carbon Metabolism,0.0,0.0,False
ACS_ADP,,ac_c + atp_c + coa_c <=> accoa_c + adp_c + pi_c,,Nucleotide Synthesis,-1000.0,1000.0,True
PEPCK,phosphoenolpyruvate carboxykinase (GTP),gtp_c + oaa_c --> co2_c + gdp_c + pep_c,,Nucleotide Synthesis,0.0,1000.0,False
PEPCK_ATP,PEP carboxykinase (ATP),atp_c + oaa_c --> adp_c + co2_c + pep_c,,Nucleotide Synthesis,0.0,1000.0,False
FADS,,atp_c + fmn_c --> fad_c + ppi_c,,Cofactor Synthesis,0.0,1000.0,False
MKRED,menaquinone-8 reduction by NADH,h_c + mqn8_c + nadh_c --> mql8_c + nad_c,,Cofactor Synthesis,0.0,1000.0,False
MQN8RD,menaquinone-8 reduction by NADH,h_c + mqn8_c + nadh_c --> mql8_c + nad_c,,Cofactor Synthesis,0.0,1000.0,False
MQN8r_NADH,,2.0 h_c + mqn8_c + nadh_c --> mql8_c + nad_c,,Cofactor Synthesis,0.0,1000.0,False
MQN8red,Menaquinone-8 NADH dehydrogenase (lumped),h_c + mqn8_c + nadh_c --> mql8_c + nad_c,,Cofactor Synthesis,0.0,0.0,False
NADH16_MQ,NDH-1 to MQN8,4.0 h_c + mqn8_c + nadh_c --> 3.0 h_p + mqn8h2_c + nad_c,,Cofactor Synthesis,0.0,1000.0,False
SUPPLY_accoa_c,, --> accoa_c,,Cofactor Synthesis,0.0,0.0,False
ACKr,,ac_c + atp_c <=> actp_c + adp_c,,Other,-1000.0,1000.0,True
BCAT_LEU,,4mop_c + glu__L_c <=> akg_c + leu__L_c,,Other,-1000.0,1000.0,True
BCAT_VAL,,2kiv_c + glu__L_c <=> akg_c + val__L_c,,Other,-1000.0,1000.0,True
CA,carbonic anhydrase,co2_c + h2o_c <=> h_c + hco3_c,,Other,-1000.0,1000.0,True
DHAD,,dhiv_c --> 2kiv_c + h2o_c,,Other,0.0,1000.0,False
FRD7,Fumarate reductase,fum_c + q8h2_c --> q8_c + succ_c,,Other,0.0,1000.0,False
IPMDH,,3ippm_c + nad_c --> 4mop_c + co2_c + nadh_c,,Other,0.0,1000.0,False
IPMI,,2ippm_c <=> 3ippm_c,,Other,-1000.0,1000.0,True
KARI,,alac__S_c + h_c + nadph_c --> dhiv_c + nadp_c,,Other,0.0,1000.0,False
MKOX,menaquinol-8 oxidation (pseudo),mql8_c + nad_c --> h_c + mqn8_c + nadh_c,,Other,0.0,1000.0,False
PDXK,,atp_c + pydxn_c --> adp_c + h_c + pydx5p_c,,Other,0.0,1000.0,False
RIBFLVKin,,atp_c + ribflv_c --> adp_c + fmn_c + h_c,,Other,0.0,1000.0,False
SUCDi,Succinate dehydrogenase,q8_c + succ_c --> fum_c + q8h2_c,,Other,0.0,1000.0,False
SUPPLY_oaa_c,, --> oaa_c,,Other,0.0,0.0,False
THIK,,atp_c + thm_c --> adp_c + h_c + thmpp_c,,Other,0.0,1000.0,False
